Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2392d9b6cbfd1fd4f73877428757af19827a00cc496938a184ea39befc872b2a,9bcb59f9adc735cbfb68a5278026b0bc28d4e4c1d5b831fe29b648d457224821,APPROVED,Not Applicable,2024-02-28T16:14:35.613000Z,2024-02-28T16:35:43.790000Z,2024-02-28T16:35:44.669000Z,2024-02-28T16:35:44.388756Z,1269.0,CJNL5D58,61,"English, German",25,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
ce3a904b9ac04a7e7d35da496e829861c504f7ae5483f107f90cf20db0d676d3,6597148ccc60cd7fd7ea51e65f2584c0cd834122f4e36dd32297dde03d5ef430,APPROVED,Not Applicable,2024-02-28T16:18:14.667000Z,2024-02-28T16:55:22.817000Z,2024-02-28T16:55:23.519000Z,2024-02-28T16:55:23.449403Z,2229.0,CJNL5D58,32,"English, German",24,Male,White,Germany,Germany,Germany,German,No,Full-Time
c5019b0edc06e07c606795635ce65307319c69f1ca048bc263fb3a5da9b820ce,8c1125471c85e755b013881e06d8e31aa5b09d93fa47617a9a3985b99caa6f18,APPROVED,Not Applicable,2024-02-28T16:14:35.257000Z,2024-02-28T16:49:06.798000Z,2024-02-28T16:49:07.481000Z,2024-02-28T16:49:07.402662Z,2072.0,CJNL5D58,684,"English, German",41,Male,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
d17676ab056c8cad59359a410add0a5c34701a8986fb98bd6dc2d9629e835f6d,60c198ef0f8f152d43254ed0d571e8a1d7516841f4776bd76100157aa47acb62,APPROVED,Not Applicable,2024-02-28T16:17:48.558000Z,2024-02-28T16:41:39.330000Z,2024-02-28T16:41:39.900000Z,2024-02-28T16:41:39.787076Z,1431.0,CJNL5D58,4,"German, Turkish, English",37,Male,Mixed,Germany,Germany,Germany,German,No,Full-Time
b54f2d86e1a2f1a1db5280755550700e63d0fb855d5fb3aedabfe82e24970d9b,7e3173623dbe05e5980c0263d2ad9dbd1b11e3d5d698cfe29288c585ebb3ce5a,APPROVED,Not Applicable,2024-02-28T16:16:43.804000Z,2024-02-28T16:48:34.509000Z,2024-02-28T16:48:35.279000Z,2024-02-28T16:48:35.163038Z,1911.0,CJNL5D58,979,"English, German",41,Male,Asian,Vietnam,Germany,Germany,German,No,Part-Time
84db3fd1a93a60c94ff403a07e7de2f30012fed41d5b827dca647309301e3857,87f08287222f5b958c498b5948ed49dfa49e2dc12bfd214c3892b8868282d383,APPROVED,Not Applicable,2024-02-28T16:22:40.940000Z,2024-02-28T17:06:38.196000Z,2024-02-28T17:06:38.813000Z,2024-02-28T17:06:38.741747Z,2638.0,CJNL5D58,283,"German, English, Esperanto",28,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
9a00f9caa029d53ec189ca051e684a77df587cbbb9af96733869fac73276fb40,bef5752dd31c0a1845c19f0fc786f2137d2fd098a2d3eb405bbad65ca852d893,APPROVED,Not Applicable,2024-02-28T16:17:54.859000Z,2024-02-28T16:59:45.744000Z,2024-02-28T16:59:46.681000Z,2024-02-28T16:59:46.582283Z,2511.0,CJNL5D58,121,"English, German",31,Female,White,Germany,Germany,Germany,German,No,Part-Time
6cc8a71fb8b5ed10d8650a446e1f613a043744f7d71862c26d369647b4333aef,05353b23737e53b4bd79687da5a193533005543ba24da3fd7c464d4810c57593,APPROVED,Not Applicable,2024-02-28T16:18:05.648000Z,2024-02-28T16:57:17.543000Z,2024-02-28T16:57:18.131000Z,2024-02-28T16:57:18.047035Z,2352.0,CJNL5D58,2,"German, English",22,Female,White,Germany,Germany,Germany,German,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
80910f60d0c0caadd70940eb5624e71d1c8d49b8f970710f14ae4f93c23486e0,4edd4df5700500328d6b9aa1ce7426426a6f2cb18b5565a106c96e5d089e0301,APPROVED,Not Applicable,2024-02-28T16:20:29.479000Z,2024-02-28T16:46:52.845000Z,2024-02-28T16:46:53.760000Z,2024-02-28T16:46:53.476763Z,1584.0,CJNL5D58,286,"English, French, German, Japanese, Turkish",31,Female,White,Germany,Germany,Germany,German,Yes,Full-Time
2b07e92c82c1b2e2669826b5577780f13873f045272d223e246fe72f88573872,3d547a73a361be6f68afb22364ca43098d1115e0180768c7f82608f51424d90b,RETURNED,Not Applicable,2024-02-28T16:20:08.826000Z,,,2024-05-06T13:45:01.191784Z,,,86,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
